admin0name,admin1name,admin2name,crop_area,flood_area,pop_sum,year
Ghana,Western,Sekondi Takoradi,0.0,5.4832165772202455,17.858823529411765,2007
Ghana,Western,Mpohor,0.0,0.6233576293945313,0.0,2007
Ghana,Western,Jomoro,2.7767477122347968,594.262983878151,104.0,2007
Ghana,Western,Shama,1.2467522521972656,140.7960859129904,81.0,2007
Ghana,Western,Ahanta West,4.6322741638183595,90.47635485837444,26.235294117647058,2007
Ghana,Western,Wassa East,4.836525530670765,120.70665334482216,0.0,2007
Ghana,Western,Nzema East,0.9794557739257811,60.442503782935056,0.0,2007
Ghana,Western,Wassa Amenfi Central,4.001924621582032,57.81370065307618,6.0,2007
Ghana,Western,Wassa Amenfi East,0.8003505432128906,2.667977667236327,0.0,2007
Ghana,Western,Prestea / Huni Valley,7.030549768066406,114.71344874877911,0.0,2007
Ghana,Western,Wassa Amenfi West,5.961096093750001,87.46762485712975,54.0,2007
Ghana,Western,Ellembelle,11.666377606201175,250.06888546188048,20.0,2007
Ghana,Western,Tarkwa Nsuaem,1.6023588562011717,47.537868914794785,0.0,2007
Ghana,Northern,Nanumba North,371.8641813030403,1746.6643427406711,0.0,2007
Ghana,Northern,Karaga,643.1005727087884,780.9411677400979,0.0,2007
Ghana,Northern,Kpandai,161.68114649069395,1067.714636864611,0.0,2007
Ghana,Northern,Savelugu Nanton,5365.163008768162,7247.554612171626,44.0,2007
Ghana,Northern,Sagnerigu,1.411433380126953,3.4404091247558597,0.0,2007
Ghana,Northern,Zabzugu,11.60467158157648,39.62880648157459,0.0,2007
Ghana,Northern,Tatale,3.9047417501771227,15.562363855794267,0.0,2007
Ghana,Northern,Tamale North Sub Metro,346.57827657288493,391.45694648537733,12.0,2007
Ghana,Northern,Gushiegu,39.88760619980745,66.63783987493758,0.0,2007
Ghana,Northern,Kumbumgu,3222.346115223764,8148.357419714292,12.0,2007
Ghana,Northern,Tolon,133.09727079080062,428.59438954252454,0.0,2007
Ghana,Northern,Saboba,165.79512253415533,267.970807381544,0.0,2007
Ghana,Northern,Yendi Municipal,16.96921631625306,48.881558365263125,0.0,2007
Ghana,Northern,Nanumba South,56.60832737395643,573.0364605340939,0.0,2007
Ghana,Northern,Mion,138.38288535330997,231.1369510236444,0.0,2007
Ghana,Savannah,Gonja Central,36.97957195223939,734.9055777554848,18.666666666666668,2007
Ghana,Savannah,East Gonja,1296.0943047267556,3038.8721756015902,0.0,2007
Ghana,Savannah,West Gonja,6.6402256403664985,40.152717016984525,0.0,2007
Ghana,Savannah,North Gonja,49.063934825535206,447.60623289994976,0.0,2007
Ghana,Savannah,Sawla / Tuna / Kalba,0.9246968664311428,64.24003192555146,0.0,2007
Ghana,Savannah,Bole,38.57642164878694,288.59521071528417,0.0,2007
Ghana,Bono East,Sene East,1.2418267761230468,552.156585744509,20.0,2007
Ghana,Bono East,Nkoranza North,0.0,0.0,0.0,2007
Ghana,Bono East,Sene West,4.431677648925781,398.2059288092405,30.0,2007
Ghana,Bono East,Atebubu Amantin,2.131138162769991,12.217957961497584,0.0,2007
Ghana,Bono East,Pru,65.862485653148,161.29690099846323,0.0,2007
Ghana,Bono East,Techiman Municipal,0.08863590087890624,0.08863590087890624,0.0,2007
Ghana,Bono East,Techiman North,0.0,0.0,0.0,2007
Ghana,Bono East,Kintampo South,3.5015921376665897,8.331036188127106,0.0,2007
Ghana,Bono East,Kintampo North,59.217800415086934,240.16333550173303,5.301960784313725,2007
Ghana,Bono East,Nkoranza South,0.0,0.0,0.0,2007
Ghana,North East,West Mamprusi,3366.457879855153,5085.416034371098,50.0,2007
Ghana,North East,Mamprusi East,19.478720723853016,81.0221224651981,0.0,2007
Ghana,North East,Chereponi,218.36320271149307,476.54491719992456,0.0,2007
Ghana,North East,Bunkpurugu Yonyo,16.446151290163527,38.351455184206486,0.0,2007
Ghana,North East,Mamprugu Moagduri,2169.4905078767406,2991.9103979990496,10.0,2007
Ghana,Upper East,Nabdam,0.08784975585937499,1.795400306587967,0.0,2007
Ghana,Upper East,Garu Tempane,35.84572968704512,50.64800964056272,0.0,2007
Ghana,Upper East,Kasena Nankana West,86.82600454015395,310.22233456080835,0.0,2007
Ghana,Upper East,Bolgatanga Municipal,7.028658911132811,12.651565673828118,0.0,2007
Ghana,Upper East,Talensi,39.69946884543029,140.11630923229694,0.0,2007
Ghana,Upper East,Bawku West,42.644674860121754,113.49987968797849,0.0,2007
Ghana,Upper East,Pusiga,3.774749481201172,11.763228936767566,0.0,2007
Ghana,Upper East,Bongo,26.085411285400358,56.308542071485235,0.0,2007
Ghana,Upper East,Bawku Municipal,7.107549015730315,17.166456016438804,0.0,2007
Ghana,Upper East,Builsa South,767.377786697325,940.2533490006493,8.0,2007
Ghana,Upper East,Builsa North,45.0061078521848,94.19548520495846,0.0,2007
