Region,Treatment,year,perc_pop
Mamprugu Moagduri,1,2020,0.0011747430249632893
North Tongu,1,2015,7.844719383180922e-05
North Tongu,1,2016,0.00015689438766361844
North Tongu,1,2017,0.0003137887753272369
North Tongu,1,2018,0.0
North Tongu,1,2019,0.0
North Tongu,1,2020,0.0003137887753272369
South Tongu,1,2015,0.0
South Tongu,1,2016,0.001754967258073543
South Tongu,1,2017,0.00015223596574690768
South Tongu,1,2018,4.268577078785844e-05
South Tongu,1,2019,8.037163485755863e-05
South Tongu,1,2020,7.611798287345384e-05
Amansie West,1,2015,0.0012198536006244446
Amansie West,1,2016,0.0014948000842553092
Amansie West,1,2017,0.00041241972544629713
Amansie West,1,2018,0.0014555220151651856
Amansie West,1,2019,0.0007659223472574089
Amansie West,1,2020,0.0005302539327166675
North Gonja,1,2015,0.00033530451746631716
North Gonja,1,2016,0.00033530451746631716
North Gonja,1,2017,0.0
North Gonja,1,2018,0.0006706090349326343
North Gonja,1,2019,0.00033530451746631716
North Gonja,1,2020,0.00033530451746631716
Nanumba South,1,2015,0.0
Nanumba South,1,2016,0.0
Nanumba South,1,2017,0.0
Nanumba South,1,2018,0.0
Nanumba South,1,2019,2.780542496048239e-05
Nanumba South,1,2020,0.0
Shama,1,2015,0.0010798827555865364
Shama,1,2016,0.00015426896508379093
Shama,1,2017,0.00046280689525137267
Shama,1,2018,0.0009256137905027453
Shama,1,2019,0.00030853793016758185
Shama,1,2020,0.0013884206857541182
Central Tongu,1,2015,0.0
Central Tongu,1,2016,0.0041111111111111105
Central Tongu,1,2017,0.0014444444444444446
Central Tongu,1,2018,0.0001111111111111111
Central Tongu,1,2019,0.0006666666666666666
Central Tongu,1,2020,0.0011111111111111113
Saboba,1,2015,0.0
Saboba,1,2016,0.0
Saboba,1,2017,0.0
Saboba,1,2018,0.0
Saboba,1,2019,0.0002068305799012384
Saboba,1,2020,0.0002068305799012384
Tolon,1,2015,0.0
Tolon,1,2016,0.0
Tolon,1,2017,0.0
Tolon,1,2018,0.0
Tolon,1,2019,0.0
Tolon,1,2020,0.0
Afadzato South,1,2015,0.0
Afadzato South,1,2016,0.0
Afadzato South,1,2017,0.0
Afadzato South,1,2018,0.0
Afadzato South,1,2019,0.0
Afadzato South,1,2020,0.0
Cape Coast Metro,1,2015,0.0
Cape Coast Metro,1,2016,0.007951741157115437
Cape Coast Metro,1,2017,0.00013950423082658662
Cape Coast Metro,1,2018,0.00027900846165317323
Cape Coast Metro,1,2019,0.00027900846165317323
Cape Coast Metro,1,2020,0.0005580169233063465
Mfantsiman,1,2015,0.0
Mfantsiman,1,2016,0.0005994387073921691
Mfantsiman,1,2017,7.492983842402114e-05
Mfantsiman,1,2018,0.00014985967684804228
Mfantsiman,1,2019,0.0004495790305441269
Mfantsiman,1,2020,0.00029971935369608457
Karaga,1,2015,0.0
Karaga,1,2016,0.0
Karaga,1,2017,0.0
Karaga,1,2018,0.0
Karaga,1,2019,0.00013664135548224638
Karaga,1,2020,0.0004099240664467392
Kasena Nankana West,1,2015,0.0
Kasena Nankana West,1,2016,0.0
Kasena Nankana West,1,2017,7.1567446354235e-05
Kasena Nankana West,1,2018,0.0
Kasena Nankana West,1,2019,0.0
Kasena Nankana West,1,2020,0.0
Kasena Nankana East,1,2015,4.893646336654362e-05
Kasena Nankana East,1,2016,0.00016985228789844018
Kasena Nankana East,1,2017,0.00015144172522413377
Kasena Nankana East,1,2018,0.0
Kasena Nankana East,1,2019,0.0
Kasena Nankana East,1,2020,0.0002304289779880938
Shai Osu Doku,1,2015,0.0
Shai Osu Doku,1,2016,0.00024139040875442548
Shai Osu Doku,1,2017,0.00028162214354682973
Shai Osu Doku,1,2018,0.0
Shai Osu Doku,1,2019,0.0
Shai Osu Doku,1,2020,0.00015998031011567806
Asante Akim North,1,2015,0.0
Asante Akim North,1,2016,0.0
Asante Akim North,1,2017,0.0
Asante Akim North,1,2018,0.0
Asante Akim North,1,2019,0.0
Asante Akim North,1,2020,0.0
Builsa North,1,2015,0.00021940048816608616
Builsa North,1,2016,0.00032910073224912925
Builsa North,1,2017,0.0009873021967473877
Builsa North,1,2018,0.0005485012204152153
Builsa North,1,2019,0.0004388009763321723
Builsa North,1,2020,0.0006582014644982585
