Region,02Year,05Year,10Year,15Year,20Year
Shama,0.0,0.0001542689650837909,0.0003085379301675818,0.0003085379301675818,0.0009256137905027454
Sissala  West,0.0,0.0,0.0,0.0,0.0
Sissala East,0.0,0.0,0.0,0.0,0.0
South Dayi,0.0,0.0005675368898978433,0.0012769580022701475,0.0014188422247446084,0.0019863791146424517
South Tongu,0.0,0.0001522359657469077,0.00022835394862036156,0.00039961941008563275,0.0006089438629876308
Suaman,0.0,0.0,0.0,0.0,0.0
Suhum Municipal,0.0,0.0,0.0,0.0,0.0
Sunyani Municipal,0.0,0.0,0.0,0.0,0.0
Sunyani West,0.0,0.0,0.0,0.0,0.0
Tain,0.0,0.0,0.0,0.0,0.0
Talensi,0.0,0.0,0.0,0.0,0.0
Tamale North Sub Metro,0.0,0.0,2.9767072656463177e-05,5.9534145312926354e-05,5.9534145312926354e-05
Tano North,0.0,0.0,0.0,0.0,0.0
Tano South,0.0,0.0,0.0,0.0,0.0
Tarkwa Nsuaem,0.0,0.0,0.0,0.0,9.456823689343342e-05
Tatale,0.0,0.0,0.0,0.0,0.0
Techiman Municipal,0.0,0.0,0.0,0.0,0.0
Techiman North,0.0,0.0,0.0,0.0,0.0
Tema Metropolis,0.0,0.0,5.3487186253079974e-05,5.3487186253079974e-05,0.00016046155875923992
Tolon,0.0,0.0,0.0,0.0,0.0
Twifo Ati-Morkwa,0.0,0.0001450358684859371,0.0004351076054578113,0.0004351076054578113,0.0005801434739437484
Twifo Lower Denkyira,0.0,0.0,0.0,0.0,0.0
Upper Denkyira East,0.0,0.0,0.0,0.0,0.0
Upper Denkyira West,0.0,0.0,0.0004023904976229154,0.0007153608846629607,0.000983621216411571
Upper Manya,0.0,0.0002685929967910205,0.0002685929967910205,0.0002685929967910205,0.0002685929967910205
Upper West Akim,0.0,0.0,0.0,0.0,0.0
Wa East,0.0,0.0,0.0,0.00018414410901331253,0.00018414410901331253
Wa Municipal,0.0,0.0,0.0,0.0,0.0
Wa West,0.0,0.0,0.00010036130068245685,0.0002007226013649137,0.00030108390204737056
Wassa Amenfi Central,0.0,0.0,5.980056511534034e-05,0.0002840526842978666,0.00046345437964388764
Wassa Amenfi East,0.0,0.0,1.1606448542810386e-05,8.124513979967269e-05,0.0002901612135702596
Wassa Amenfi West,0.0,0.0,0.0,0.0001096371011950444,0.0001096371011950444
Wassa East,0.0,0.0003593101245608432,0.0003593101245608432,0.0003593101245608432,0.0003593101245608432
Wenchi,0.0,0.0,0.0,0.0,0.0
West Akim,0.0,0.0,0.0,0.0,0.0
West Gonja,0.0,0.0,0.0,0.0,0.0
West Mamprusi,6.581285456675398e-05,0.00013162570913350795,0.0002632514182670159,0.0005067589801640057,0.0005725718347307596
Yendi Municipal,0.0,0.0,0.00018097531775089444,0.00018097531775089444,0.00018097531775089444
Yilo Krobo,0.0,0.0,0.0,0.0,0.0
Zabzugu,0.0,0.0,0.0,0.0,0.0
