Region,Avg Impact Per Year - People,Avg Impact Per Year - Crops,Risk,Risk_Norm,Treatment
Kumbumgu,1.1,4.662166666666667,5.762166666666667,-0.10220825614596996,1
Atwima Mponua,5.7,0.061166666666666675,5.761166666666667,-0.10223296267388811,1
Amansie Central,5.666666666666666,0.013833333333333331,5.680499999999999,-0.1042259559259514,1
Upper Denkyira West,5.0,0.033,5.033,-0.12022343275294683,1
Upper Manya,3.8,0.2781666666666667,4.078166666666666,-0.14381404916011725,1
Obuasi Municipal,4.0,0.026333333333333337,4.0263333333333335,-0.14509467085720748,1
North Gonja,2.9333333333333336,1.0725,4.005833333333333,-0.14560115467952933,1
Nanumba North,2.25,1.6135000000000002,3.8635,-0.1491177171532112,1
Kwahu South,3.6,0.213,3.813,-0.15036539681307726,1
Ahanta West,3.7,0.011666666666666669,3.711666666666667,-0.15286899164211543,1
Saboba,0.8,2.861666666666667,3.661666666666667,-0.1541043180380224,1
Wassa East,3.6,0.060833333333333336,3.6608333333333336,-0.15412490681128752,1
Atiwa,3.6,0.04766666666666666,3.647666666666667,-0.15445020942887638,1
Sefwi Bibiani / Anhwiaso Bekwai,3.533333333333333,0.02,3.5533333333333332,-0.15678085856248758,1
Builsa North,3.066666666666667,0.12199999999999997,3.1886666666666668,-0.1657905057433025,1
Nkwanta North,2.7,0.4773333333333333,3.1773333333333333,-0.16607051305970807,1
Prestea / Huni Valley,3.033333333333333,0.033666666666666664,3.0669999999999997,-0.1687964666400095,1
Yendi Municipal,2.6,0.4115,3.0115,-0.17016767893946624,1
Tema Metropolis,3.0,0.0015,3.0015,-0.17041474421864763,1
Karaga,0.0,2.8098333333333336,2.8098333333333336,-0.17515016206962442,1
Nzema East,2.533333333333333,0.02,2.5533333333333332,-0.18148738648062726,1
Kasena Nankana East,1.7333333333333334,0.7378333333333333,2.471166666666667,-0.18351743952456773,1
Fanteakwa,2.0,0.3841666666666667,2.3841666666666668,-0.18566690745344588,1
Aowin,2.3,0.0021666666666666666,2.3021666666666665,-0.18769284274273335,1
Bole,1.0499999999999998,1.0226666666666666,2.0726666666666667,-0.1933629908999464,1
Gomoa West,2.05,0.005,2.0549999999999997,-0.19379947289316687,1
Wassa Amenfi Central,2.0,0.02116666666666667,2.021166666666667,-0.1946353770877306,1
North Tongu,1.9,0.08533333333333334,1.9853333333333332,-0.1955206943381306,1
Bosomtwe / Atwima / Kwanwoma,1.7999999999999998,0.0006666666666666666,1.8006666666666664,-0.2000831664936804,1
Tolon,0.0,1.7766666666666666,1.7766666666666666,-0.20067612316371575,1
Wa West,1.5166666666666666,0.13416666666666666,1.6508333333333334,-0.20378502792674835,1
Ningo Prampram,1.6,0.028833333333333336,1.6288333333333334,-0.20432857154094744,1
Chereponi,0.0,1.5941666666666667,1.5941666666666667,-0.20518506450877627,1
Biakoye,1.3,0.25566666666666665,1.5556666666666668,-0.20613626583362463,1
Builsa South,0.4,1.0798333333333334,1.4798333333333336,-0.20800984420075022,1
Wassa Amenfi East,1.4,0.02866666666666667,1.4286666666666665,-0.20927399487922838,1
Shai Osu Doku,1.25,0.12616666666666668,1.3761666666666668,-0.21057108759493073,1
Tamale North Sub Metro,1.0,0.2806666666666667,1.2806666666666666,-0.21293056101111305,1
Wa East,1.1333333333333333,0.1165,1.2498333333333334,-0.21369234562192235,1
Banda,0.8,0.34600000000000003,1.1460000000000001,-0.21625770677075584,1
Adansi South,1.0,0.009333333333333334,1.0093333333333334,-0.21963426558623494,1
Ellembelle,1.0,0.004,1.004,-0.2197660337351317,1
Ejisu Juaben,0.95,0.001,0.951,-0.2210754797147931,1
Garu Tempane,0.45,0.36783333333333335,0.8178333333333334,-0.22436556568255872,1
Binduri,0.4666666666666667,0.3443333333333333,0.8109999999999999,-0.22453439362333266,1
