Region,Avg Impact Per Year - People,Avg Impact Per Year - Crops,Avg Impact Per Year - Crops Scaled,FRI,FRI_z_score,Treatment
Kwahu South,0.6,0.027520000000000003,0.002752,0.602752,-0.14142791709731659,1
North Gonja,0.4913333333333334,0.210275,0.021027499999999998,0.5123608333333334,-0.15139796335058522,1
Pru,0.3725000000000001,0.6373283333333333,0.06373283333333332,0.4362328333333334,-0.15979479800996935,1
Upper Denkyira West,0.413,0.0036299999999999995,0.00036299999999999993,0.413363,-0.16231731546987468,1
Savelugu Nanton,0.299,1.1101033333333332,0.11101033333333332,0.4100103333333333,-0.1626871109152828,1
Amansie Central,0.4086666666666667,0.0010083333333333333,0.00010083333333333334,0.4087675,-0.1628241940648358,1
Atwima Mponua,0.39899999999999997,0.0054016666666666675,0.0005401666666666668,0.39954016666666664,-0.16384195878145813,1
Nzema East,0.3773333333333334,0.00203,0.000203,0.3775363333333334,-0.16626895739396133,1
Ahanta West,0.3700000000000001,0.0021466666666666665,0.00021466666666666666,0.37021466666666675,-0.16707652917347904,1
Obuasi Municipal,0.29500000000000004,0.0037333333333333337,0.0003733333333333334,0.2953733333333334,-0.1753314459148601,1
Sefwi Bibiani / Anhwiaso Bekwai,0.2853333333333333,0.0023899999999999998,0.00023899999999999998,0.2855723333333333,-0.1764124854337838,1
Nkwanta North,0.27,0.05652333333333333,0.005652333333333333,0.27565233333333333,-0.17750665052180778,1
Mamprugu Moagduri,0.225,0.4760983333333333,0.04760983333333333,0.27260983333333333,-0.17784223492506515,1
Atiwa,0.27,0.003236666666666667,0.0003236666666666667,0.2703236666666667,-0.1780943965936207,1
Bosomtwe / Atwima / Kwanwoma,0.27,4.666666666666667e-05,4.666666666666667e-06,0.27000466666666667,-0.17812958194272144,1
Yendi Municipal,0.26,0.060315,0.0060315,0.26603150000000003,-0.17856781785558107,1
Builsa North,0.2546666666666667,0.02942,0.002942,0.2576086666666667,-0.1794968471071514,1
Prestea / Huni Valley,0.2403333333333333,0.0050866666666666656,0.0005086666666666666,0.24084199999999995,-0.18134619199719199,1
